season,week,date,away,home,first_downs_away,first_downs_home,third_downs_away,third_downs_home,fourth_downs_away,fourth_downs_home,passing_yards_away,passing_yards_home,rushing_yards_away,rushing_yards_home,total_yards_away,total_yards_home,comp_att_away,comp_att_home,sacks_away,sacks_home,rushing_attempts_away,rushing_attempts_home,fumbles_away,fumbles_home,int_away,int_home,turnovers_away,turnovers_home,penalties_away,penalties_home,redzone_away,redzone_home,drives_away,drives_home,def_st_td_away,def_st_td_home,possession_away,possession_home,score_away,score_home
2020,5,10/13/20,Bills,Titans,23,25,13-17,10-Jun,0-0,1-Jan,275,195,95,139,370,334,29-46,21-28,10-Jan,0-0,22,34,1,0,2,0,3,0,Oct-56,Jun-46,2-Feb,6-Jun,10,9,0,0,32:24:00,27:36:00,16,42
2020,6,10/18/20,Texans,Titans,25,31,14-Jul,10-Jun,3-Mar,0-0,320,344,92,263,412,607,28-38,30-41,15-Feb,22-Feb,27,27,0,1,0,1,0,2,Apr-46,Jul-73,4-Apr,6-Apr,11,11,0,0,31:40:00,31:50:00,36,42
2020,6,10/18/20,Bengals,Colts,22,23,17-Aug,11-Jul,2-Feb,0-0,300,371,98,59,398,430,25-39,29-44,13-Feb,Jan-00,32,15,0,1,1,1,1,2,20-Jun,Jun-55,3-Mar,4-Apr,11,11,0,0,34:28:00,25:32:00,27,31
2020,6,10/18/20,Falcons,Vikings,24,19,17-Sep,10-Mar,3-Mar,2-Jan,363,333,99,32,462,365,30-40,24-36,8-Feb,10-Jan,37,13,1,0,0,3,1,3,25-May,30-Mar,3-Feb,3-Feb,12,12,0,0,40:07:00,19:53,40,23
2020,6,10/18/20,Broncos,Patriots,15,14,14-Apr,13-Apr,0-0,2-Jan,164,171,135,117,299,288,24-Oct,19-27,25-Feb,24-Apr,37,25,0,1,2,2,2,3,20-Feb,4-Jan,0-2,2-Jan,11,11,0,0,32:31:00,27:29:00,18,12
2020,6,10/18/20,Commanders,Giants,24,16,15-Aug,11-Jul,2-Feb,0-0,251,108,86,132,337,240,31-42,19-Dec,29-Mar,4-Jan,24,26,1,0,1,1,2,1,Aug-50,30-Apr,3-Jan,0-3,8,8,0,2,33:30:00,26:30:00,19,20
2020,6,10/18/20,Ravens,Eagles,17,19,16-Jun,12-Mar,0-0,3-Jan,173,170,182,194,355,364,16-27,21-40,13-Mar,Jun-43,37,18,0,1,0,0,0,1,12-132,20-Mar,3-Feb,3-Mar,14,14,0,1,36:30:00,23:30,30,28
2020,6,10/18/20,Browns,Steelers,12,18,12-Jan,14-May,0-3,2-Feb,145,148,75,129,220,277,15-28,15-23,20-Apr,20-Feb,22,37,0,0,2,0,2,0,Jul-55,Jun-45,1-Jan,4-Mar,12,12,0,2,25:54:00,34:06:00,7,38
2020,6,10/18/20,Bears,Panthers,22,23,14-Jul,13-Mar,0-0,2-Jan,198,191,63,112,261,303,23-39,16-29,0-0,25-Apr,25,29,0,1,1,2,1,3,Oct-92,Aug-69,4-Feb,3-Jan,11,11,0,0,28:54:00,31:06:00,23,16
2020,6,10/18/20,Lions,Jaguars,25,16,12-Mar,13-Jul,2-Feb,0-2,223,231,180,44,403,275,19-31,25-44,0-0,12-Jan,39,16,0,1,1,1,1,2,Jul-60,May-56,5-Apr,5-Feb,11,11,0,0,35:57:00,24:03:00,34,16
2020,6,10/18/20,Jets,Dolphins,13,18,17-Feb,9-Jan,3-Feb,0-0,148,192,115,110,263,302,21-44,20-29,Mar-38,8-Feb,22,25,0,0,1,2,1,2,Jul-80,25-May,0-1,5-Mar,14,14,0,0,31:55:00,28:05:00,0,24
2020,6,10/18/20,Packers,Buccaneers,13,21,17-Jul,12-May,0-0,0-0,107,166,94,158,201,324,16-35,17-28,May-53,0-0,21,35,0,0,2,0,2,0,Jun-76,0-0,1-Jan,4-Apr,12,11,0,2,31:37:00,28:23:00,10,38
2020,6,10/18/20,Rams,49ers,17,24,12-Apr,13-May,0-1,1-Jan,198,268,113,122,311,390,19-38,23-33,0-0,0-0,19,37,0,0,1,0,1,0,Jun-34,Jul-63,3-Jan,2-Feb,10,11,0,0,22:05,37:55:00,16,24
2020,6,10/19/20,Chiefs,Bills,27,20,14-Sep,9-Apr,1-Jan,0-0,221,122,245,84,466,206,21-26,14-27,4-Jan,0-0,46,23,1,0,0,1,1,1,Aug-68,Apr-39,5-Mar,2-Feb,9,9,0,0,37:45:00,22:15,26,17
